date,humidity,temperature_f,station_pressure,wind_speed_mph,precipitation_in
2010-04-08T10:51:00Z,65,66,29.69,8,0
2010-04-09T08:51:00Z,72,58,29.71,11,0
2010-04-10T16:51:00Z,33,59,30.17,18,0
2010-04-11T02:51:00Z,61,50,30.2,11,0
2010-04-11T04:51:00Z,64,49,30.2,9,0
2010-04-11T05:51:00Z,61,50,30.21,14,0
2010-04-11T20:51:00Z,32,64,30.17,11,0
2010-04-11T22:51:00Z,25,60,30.22,8,0
2010-04-14T00:51:00Z,77,46,30.5,6,0
2010-04-14T18:51:00Z,51,54,30.36,20,0
2010-04-15T23:51:00Z,52,49,30.18,15,0
2010-04-16T14:51:00Z,66,51,29.85,18,0
2010-04-17T04:51:00Z,89,46,29.66,3,0
2010-04-17T11:51:00Z,59,53,29.72,8,0
2010-04-18T03:51:00Z,54,45,29.82,15,0
2010-04-18T05:51:00Z,55,44,29.85,15,0
2010-04-18T07:51:00Z,54,47,29.88,11,0
2010-04-19T10:51:00Z,39,57,29.91,14,0
2010-04-21T15:51:00Z,74,55,29.759999999999998,13,0
2010-04-22T09:51:00Z,72,59,29.73,10,0
2010-04-22T17:51:00Z,80,55,29.67,14,0
2010-04-23T11:51:00Z,28,62,29.82,15,0
2010-04-24T20:51:00Z,64,53,29.959999999999997,9,0
2010-04-26T11:51:00Z,89,52,29.35,9,0.01
2010-04-27T05:51:00Z,89,48,29.279999999999998,5,0.01
2010-04-28T12:51:00Z,40,53,29.52,18,0
2010-04-29T02:51:00Z,28,49,29.77,13,0
2010-04-29T17:51:00Z,15,69,29.71,25,0
2010-04-29T21:51:00Z,25,60,29.8,9,0
2010-04-30T08:51:00Z,28,67,29.87,8,0
2010-05-02T00:51:00Z,81,59,29.82,5,0
2010-05-02T04:51:00Z,83,59,29.810000000000002,5,0
2010-05-02T12:51:00Z,71,72,29.79,9,0
2010-05-04T13:51:00Z,33,81,29.7,24,0
2010-05-04T17:51:00Z,44,70,29.759999999999998,15,0
2010-05-04T19:51:00Z,52,66,29.810000000000002,9,0
2010-05-05T04:51:00Z,83,57,29.939999999999998,3,0
2010-05-05T10:51:00Z,37,73,29.959999999999997,13,0
2010-05-05T20:51:00Z,72,59,29.9,15,0
2010-05-07T19:51:00Z,77,56,29.82,15,0
2010-05-07T22:51:00Z,77,55,29.810000000000002,15,0
2010-05-08T16:51:00Z,23,70,29.53,30,0
2010-05-09T11:51:00Z,38,50,29.93,18,0
2010-05-10T22:51:00Z,30,50,30.35,13,0
2010-05-11T06:51:00Z,39,50,30.439999999999998,13,0
2010-05-11T07:51:00Z,36,51,30.419999999999998,9,0
2010-05-11T10:51:00Z,25,55,30.419999999999998,0,0
2010-05-12T23:51:00Z,83,47,30.23,6,0
2010-05-13T23:51:00Z,62,54,30.2,11,0
2010-05-14T12:51:00Z,64,74,30.03,17,0
2010-05-15T11:51:00Z,34,72,30.03,16,0
2010-05-15T17:51:00Z,30,72,30.02,15,0
2010-05-15T21:51:00Z,41,64,30.09,7,0
2010-05-16T12:51:00Z,37,70,30.08,11,0
2010-05-16T14:51:00Z,33,72,30.06,10,0
2010-05-17T08:51:00Z,27,70,30.18,7,0
2010-05-18T17:51:00Z,86,52,29.88,18,0.02
2010-05-19T00:51:00Z,86,51,29.8,15,0
2010-05-19T04:51:00Z,86,52,29.8,14,0
2010-05-19T16:51:00Z,58,64,29.830000000000002,8,0
2010-05-20T06:51:00Z,68,63,29.939999999999998,0,0
2010-05-23T15:51:00Z,71,71,30.19,9,0
2010-05-25T03:51:00Z,90,59,30.21,0,0
2010-05-25T19:51:00Z,70,64,30.09,9,0
2010-05-27T11:51:00Z,68,67,29.86,11,0
2010-05-28T14:51:00Z,65,64,29.959999999999997,10,0
2010-05-29T03:51:00Z,86,60,29.959999999999997,9,0
2010-05-30T01:51:00Z,87,66,29.82,7,0
2010-05-30T17:51:00Z,30,85,29.85,14,0
2010-05-30T21:51:00Z,50,76,29.91,8,0
2010-05-31T13:51:00Z,58,75,29.979999999999997,15,0
2010-05-31T18:45:00Z,83,68,29.939999999999998,8,0
2010-06-01T08:51:00Z,67,78,29.810000000000002,10,0
2010-06-01T19:51:00Z,82,72,29.779999999999998,8,0
2010-06-01T22:51:00Z,87,69,29.79,6,0
2010-06-03T09:51:00Z,84,71,29.71,10,0
2010-06-04T05:51:00Z,74,74,29.779999999999998,8,0
2010-06-04T09:51:00Z,48,85,29.8,8,0
2010-06-04T19:51:00Z,74,73,29.779999999999998,13,0
2010-06-06T02:51:00Z,81,73,29.59,8,0
2010-06-06T21:51:00Z,51,65,29.630000000000003,24,0
2010-06-08T08:51:00Z,38,69,30.03,8,0
2010-06-10T00:51:00Z,90,59,29.8,8,0
2010-06-11T05:51:00Z,70,63,30.08,8,0
2010-06-11T09:51:00Z,76,65,30.16,11,0
2010-06-11T19:51:00Z,78,63,30.16,7,0
2010-06-12T14:51:00Z,66,73,29.99,20,0
2010-06-12T17:51:00Z,73,70,29.93,21,0
2010-06-13T06:51:00Z,76,70,29.86,8,0
2010-06-13T16:51:00Z,87,68,29.82,10,0.01
2010-06-13T18:51:00Z,87,67,29.82,6,0
2010-06-14T15:51:00Z,76,71,29.810000000000002,11,0
2010-06-15T10:51:00Z,29,78,30.07,9,0
2010-06-16T11:51:00Z,61,71,30.110000000000003,11,0
2010-06-16T14:51:00Z,63,71,30.02,11,0
2010-06-19T05:51:00Z,84,66,30.110000000000003,10,0
2010-06-19T22:51:00Z,87,69,29.939999999999998,9,0
2010-06-20T06:51:00Z,81,73,29.9,6,0
2010-06-20T09:51:00Z,72,79,29.88,10,0
2010-06-21T04:51:00Z,54,75,29.95,7,0
2010-06-23T09:51:00Z,48,86,29.97,16,0
2010-06-24T03:51:00Z,69,78,29.82,9,0
2010-06-24T12:51:00Z,37,96,29.73,21,0
2010-06-24T15:51:00Z,38,94,29.7,18,0
2010-06-25T08:51:00Z,45,81,29.99,9,0
2010-06-25T21:51:00Z,76,72,29.959999999999997,6,0
2010-06-26T02:51:00Z,82,70,29.939999999999998,6,0
2010-06-27T05:51:00Z,79,75,29.779999999999998,6,0
2010-06-27T12:51:00Z,63,86,29.71,11,0
2010-06-28T18:51:00Z,71,80,29.610000000000003,7,0
2010-06-29T17:51:00Z,35,87,29.810000000000002,13,0
2010-07-01T10:51:00Z,31,76,30.12,13,0
2010-07-02T21:51:00Z,61,69,30.14,10,0
2010-07-03T13:51:00Z,33,84,30.06,16,0
2010-07-04T04:51:00Z,66,71,30,9,0
2010-07-04T07:51:00Z,41,82,30,9,0
2010-07-04T17:51:00Z,40,86,29.89,3,0
2010-07-05T07:51:00Z,34,88,29.97,6,0
2010-07-05T10:51:00Z,27,94,29.95,13,0
2010-07-06T00:51:00Z,71,77,29.959999999999997,3,0
2010-07-07T02:51:00Z,63,82,29.959999999999997,3,0
2010-07-07T23:51:00Z,87,78,30.01,3,0
2010-07-09T02:51:00Z,88,75,30,0,0
2010-07-09T12:51:00Z,59,85,29.939999999999998,13,0
2010-07-09T18:51:00Z,77,79,29.84,11,0
2010-07-10T08:51:00Z,67,81,29.82,8,0
2010-07-11T22:51:00Z,82,77,29.85,8,0
2010-07-14T04:51:00Z,91,76,29.85,6,0
2010-07-14T07:51:00Z,91,76,29.88,10,0
2010-07-14T11:51:00Z,72,79,29.89,6,0
2010-07-15T10:51:00Z,64,80,30.02,9,0
2010-07-15T14:51:00Z,53,86,29.99,9,0
2010-07-16T23:51:00Z,71,80,29.85,9,0
2010-07-17T05:51:00Z,67,80,29.9,8,0
2010-07-17T12:51:00Z,44,90,29.86,16,0
2010-07-17T22:51:00Z,62,81,29.82,13,0
2010-07-18T01:51:00Z,69,80,29.82,13,0
2010-07-19T09:05:00Z,66,82,29.85,14,0
2010-07-19T09:51:00Z,84,75,29.830000000000002,5,0.36
2010-07-19T10:51:00Z,74,78,29.82,8,0
2010-07-21T11:51:00Z,55,88,29.9,13,0
2010-07-23T20:23:00Z,79,79,29.87,16,0.07
2010-07-23T20:48:00Z,79,81,29.84,10,0.54
2010-07-23T22:51:00Z,67,84,29.84,14,0
2010-07-24T07:51:00Z,63,85,29.84,10,0
2010-07-25T19:51:00Z,71,77,29.830000000000002,11,0
2010-07-26T07:51:00Z,52,76,30.01,9,0
2010-07-29T06:51:00Z,79,79,29.86,10,0.01
2010-07-29T12:51:00Z,67,83,29.810000000000002,13,0
2010-07-30T10:51:00Z,34,80,29.91,5,0
2010-07-30T11:51:00Z,47,77,29.919999999999998,11,0
2010-07-30T21:51:00Z,62,73,29.9,6,0
2010-07-31T06:51:00Z,59,67,29.959999999999997,9,0
2010-08-01T14:51:00Z,54,76,30.04,10,0
2010-08-03T07:51:00Z,64,76,30.12,11,0
2010-08-04T19:51:00Z,82,77,29.779999999999998,15,0
2010-08-04T20:51:00Z,85,77,29.77,10,0
2010-08-06T22:51:00Z,36,74,29.830000000000002,6,0
2010-08-06T23:51:00Z,41,71,29.84,0,0
2010-08-08T05:51:00Z,81,73,30.02,7,0
2010-08-08T08:51:00Z,69,78,30.04,8,0
2010-08-09T12:51:00Z,61,85,29.979999999999997,13,0
2010-08-10T02:51:00Z,69,78,29.91,7,0
2010-08-10T03:51:00Z,74,77,29.9,7,0
2010-08-10T20:51:00Z,85,77,29.85,3,0
2010-08-11T01:51:00Z,85,77,29.830000000000002,3,0
2010-08-12T02:51:00Z,81,73,29.85,5,0
2010-08-12T13:51:00Z,66,75,29.89,8,0
2010-08-13T02:51:00Z,71,70,29.959999999999997,8,0
2010-08-13T19:51:00Z,61,71,30.07,8,0
2010-08-13T21:51:00Z,61,70,30.07,8,0
2010-08-14T01:51:00Z,65,66,30.110000000000003,6,0
2010-08-15T01:51:00Z,68,70,30.09,6,0
2010-08-15T05:51:00Z,73,70,30.07,5,0
2010-08-15T17:51:00Z,74,75,30,11,0
2010-08-16T16:20:00Z,83,77,29.91,13,0.08
2010-08-17T07:51:00Z,69,81,29.99,0,0
2010-08-17T18:51:00Z,82,79,29.979999999999997,10,0
2010-08-18T10:51:00Z,47,79,30.05,8,0
2010-08-19T09:51:00Z,44,82,29.919999999999998,10,0
2010-08-19T12:51:00Z,40,84,29.89,13,0
2010-08-20T07:51:00Z,46,83,29.89,6,0
2010-08-21T16:51:00Z,74,77,29.99,9,0
2010-08-22T22:51:00Z,90,71,29.759999999999998,15,0
2010-08-23T16:51:00Z,70,69,29.91,20,0
2010-08-24T08:38:00Z,83,64,29.979999999999997,17,0.06
2010-08-26T05:51:00Z,78,68,29.91,8,0
2010-08-26T11:51:00Z,51,81,29.93,10,0
2010-08-27T18:51:00Z,40,74,30.06,10,0
2010-08-28T04:51:00Z,68,63,30.16,5,0
2010-08-29T01:51:00Z,73,67,30.17,6,0
2010-08-30T06:51:00Z,58,76,30.2,5,0
2010-08-30T13:51:00Z,26,90,30.16,10,0
2010-08-30T19:51:00Z,42,85,30.130000000000003,3,0
2010-09-02T11:51:00Z,63,85,29.979999999999997,13,0
2010-09-02T14:51:00Z,57,85,29.939999999999998,21,0
2010-09-02T15:51:00Z,57,84,29.93,21,0
2010-09-03T21:51:00Z,64,80,29.479999999999997,10,0
2010-09-04T06:51:00Z,48,74,29.610000000000003,16,0
2010-09-04T10:51:00Z,29,80,29.630000000000003,21,0
2010-09-06T12:51:00Z,33,76,30.2,10,0
2010-09-08T20:51:00Z,45,69,29.779999999999998,20,0
2010-09-09T22:51:00Z,56,64,29.79,18,0
2010-09-10T01:51:00Z,60,63,29.779999999999998,14,0
2010-09-11T17:51:00Z,59,69,29.97,7,0
2010-09-13T09:51:00Z,66,69,29.97,7,0
2010-09-15T13:51:00Z,33,73,30.05,14,0
2010-09-15T14:51:00Z,32,73,30.04,16,0
2010-09-15T22:51:00Z,52,60,30.14,7,0
2010-09-16T20:51:00Z,87,68,29.84,15,0.04
2010-09-17T10:51:00Z,59,71,29.91,15,0
2010-09-18T00:51:00Z,70,61,30.12,6,0
2010-09-18T03:51:00Z,70,62,30.150000000000002,7,0
2010-09-18T08:51:00Z,63,67,30.21,5,0
2010-09-18T17:51:00Z,68,65,30.14,9,0
2010-09-20T01:51:00Z,70,68,29.93,13,0
2010-09-21T13:51:00Z,44,69,30.16,14,0
2010-09-21T21:51:00Z,70,65,30.09,14,0
2010-09-22T20:51:00Z,90,69,30.02,7,0.35
2010-09-22T23:51:00Z,84,70,30.07,8,0
2010-09-23T09:51:00Z,52,76,30.2,7,0
2010-09-23T16:51:00Z,71,70,30.16,14,0
2010-09-23T18:51:00Z,76,68,30.18,8,0
2010-09-24T23:51:00Z,81,73,29.85,11,0
2010-09-26T10:51:00Z,43,74,30.01,10,0
2010-09-27T16:15:00Z,88,72,29.93,14,0.01
2010-09-27T17:51:00Z,90,71,29.91,10,0.08
2010-09-28T09:37:00Z,83,72,29.75,24,0
2010-09-29T06:51:00Z,81,66,29.9,6,0
2010-09-29T18:51:00Z,71,70,29.959999999999997,7,0
2010-09-30T09:51:00Z,88,75,29.79,23,0
2010-09-30T12:51:00Z,82,76,29.75,22,0
2010-10-01T07:51:00Z,90,66,29.54,13,0.18
2010-10-01T17:51:00Z,78,63,29.69,14,0
2010-10-02T06:51:00Z,69,55,29.93,8,0
2010-10-02T11:51:00Z,43,65,29.95,3,0
2010-10-03T18:51:00Z,58,59,30.09,15,0
2010-10-04T10:23:00Z,82,55,30.06,11,0
2010-10-05T04:51:00Z,90,56,29.959999999999997,11,0
2010-10-06T04:51:00Z,78,57,29.95,8,0
2010-10-06T22:51:00Z,74,55,29.69,20,0
2010-10-07T05:51:00Z,80,54,29.64,17,0
2010-10-07T20:51:00Z,40,65,29.8,9,0
2010-10-08T07:51:00Z,50,61,29.959999999999997,9,0
2010-10-10T21:51:00Z,58,63,29.73,9,0
2010-10-11T14:51:00Z,48,73,29.759999999999998,10,0
2010-10-12T06:51:00Z,87,61,29.74,5,0
2010-10-12T13:51:00Z,61,66,29.75,10,0
2010-10-14T01:51:00Z,80,50,29.979999999999997,0,0
2010-10-14T14:51:00Z,60,62,29.779999999999998,9,0
2010-10-14T19:51:00Z,90,56,29.68,8,0.18
2010-10-15T04:51:00Z,77,52,29.5,14,0
2010-10-16T20:51:00Z,43,54,29.9,16,0
2010-10-20T08:51:00Z,62,56,29.939999999999998,0,0
2010-10-21T18:51:00Z,36,56,29.72,11,0
2010-10-22T10:51:00Z,40,52,29.979999999999997,16,0
2010-10-22T13:51:00Z,29,55,29.979999999999997,24,0
2010-10-23T13:51:00Z,40,62,30.08,10,0
2010-10-25T04:51:00Z,83,55,29.979999999999997,7,0
2010-10-25T13:51:00Z,78,66,29.87,20,0
2010-10-27T16:51:00Z,93,66,29.84,13,0.03
2010-10-29T22:51:00Z,41,48,30.05,16,0
2010-10-31T20:51:00Z,44,46,30.09,20,0
2010-11-02T00:51:00Z,58,40,30.419999999999998,11,0
2010-11-02T12:51:00Z,35,50,30.39,11,0
2010-11-02T20:51:00Z,55,44,30.35,0,0
2010-11-03T02:51:00Z,73,38,30.29,3,0
2010-11-03T17:51:00Z,59,50,30.04,10,0
2010-11-03T18:51:00Z,64,49,30.04,8,0
2010-11-04T11:51:00Z,90,49,29.52,15,0.09
2010-11-04T16:51:00Z,89,50,29.43,13,0.01
2010-11-05T03:17:00Z,87,48,29.36,11,0
2010-11-06T23:51:00Z,60,44,30.24,14,0
2010-11-07T00:51:00Z,58,44,30.24,16,0
2010-11-07T03:51:00Z,65,40,30.27,14,0
2010-11-07T08:51:00Z,53,42,30.259999999999998,17,0
2010-11-07T13:51:00Z,33,51,30.110000000000003,18,0
2010-11-08T00:51:00Z,51,42,29.88,14,0
2010-11-10T12:51:00Z,51,55,30.03,16,0
2010-11-10T19:51:00Z,48,48,30.14,9,0
2010-11-10T23:51:00Z,51,46,30.21,17,0
2010-11-12T22:51:00Z,37,47,30.3,5,0
2010-11-13T16:51:00Z,47,55,30.110000000000003,5,0
2010-11-13T17:51:00Z,50,51,30.110000000000003,3,0
2010-11-15T13:51:00Z,69,59,30.01,8,0
2010-11-16T04:51:00Z,89,52,30.05,6,0.02
2010-11-20T11:51:00Z,47,55,30.09,22,0
2010-11-20T22:51:00Z,48,47,30.29,13,0
2010-11-21T03:51:00Z,57,39,30.39,5,0
2010-11-21T21:51:00Z,68,46,30.439999999999998,8,0
2010-11-22T03:51:00Z,86,47,30.4,6,0
2010-11-22T19:51:00Z,86,53,30.16,9,0
2010-11-23T16:51:00Z,67,60,29.810000000000002,11,0
2010-11-24T07:51:00Z,43,42,30.110000000000003,23,0
2010-11-25T14:32:00Z,75,39,30.1,6,0.01
2010-11-25T15:51:00Z,77,40,30.08,5,0
2010-11-26T06:24:00Z,94,54,29.57,8,0
2010-11-26T07:37:00Z,88,54,29.57,14,0
2010-11-27T04:51:00Z,46,36,29.69,17,0
2010-11-28T03:51:00Z,48,35,30.16,10,0
2010-11-28T20:51:00Z,51,42,30.4,6,0
2010-11-29T11:51:00Z,39,48,30.52,5,0
2010-11-29T15:51:00Z,52,45,30.5,5,0
2010-11-30T01:51:00Z,71,48,30.439999999999998,7,0
2010-12-01T11:51:00Z,87,59,29.650000000000002,33,0.05
2010-12-02T01:51:00Z,55,38,29.93,11,0
2010-12-03T11:51:00Z,47,40,29.979999999999997,10,0
2010-12-05T09:51:00Z,47,33,29.67,18,0
2010-12-06T00:51:00Z,52,32,29.62,17,0
2010-12-06T09:51:00Z,58,33,29.53,26,0
2010-12-07T20:51:00Z,40,34,29.68,21,0
2010-12-08T02:51:00Z,40,31,29.77,21,0
2010-12-08T14:51:00Z,26,35,29.89,15,0
2010-12-09T00:51:00Z,46,27,30.1,9,0
2010-12-09T06:51:00Z,40,25,30.18,23,0
2010-12-10T01:51:00Z,46,22,30.4,5,0
2010-12-12T09:34:00Z,94,54,29.68,21,0.12000000000000001
2010-12-12T14:51:00Z,80,53,29.47,22,0
2010-12-12T15:51:00Z,80,52,29.45,20,0
2010-12-13T06:51:00Z,83,44,29.14,10,0
2010-12-13T21:46:00Z,64,27,29.3,20,0
2010-12-14T19:51:00Z,39,21,29.67,21,0
2010-12-15T17:51:00Z,37,26,29.759999999999998,15,0
2010-12-17T01:51:00Z,53,25,29.8,9,0
2010-12-17T08:51:00Z,51,29,29.91,11,0
2010-12-17T19:51:00Z,52,33,30.04,7,0
2010-12-17T20:51:00Z,56,32,30.06,11,0
2010-12-18T04:51:00Z,63,27,30.1,7,0
2010-12-18T15:51:00Z,48,35,30.06,7,0
2010-12-20T03:51:00Z,58,28,29.88,11,0
2010-12-20T18:51:00Z,48,34,29.82,20,0
2010-12-22T04:51:00Z,66,30,29.830000000000002,13,0
2010-12-22T06:51:00Z,66,30,29.84,23,0
2010-12-23T02:51:00Z,56,32,29.759999999999998,22,0
2010-12-23T12:51:00Z,44,36,29.779999999999998,33,0
2010-12-25T12:51:00Z,50,32,29.959999999999997,8,0
2010-12-26T14:51:00Z,89,29,29.51,23,0.04
2010-12-26T21:51:00Z,89,22,29.150000000000002,43,0.06
2010-12-27T04:06:00Z,86,21,29.1,29,0.01
2010-12-27T08:51:00Z,68,22,29.25,26,0
2010-12-30T07:51:00Z,88,25,30.22,0,0
2010-12-30T23:51:00Z,75,32,30.18,6,0
2010-12-31T23:51:00Z,76,35,30.130000000000003,8,0
2011-01-02T00:51:00Z,85,42,29.959999999999997,5,0
2011-01-02T23:51:00Z,57,36,29.939999999999998,26,0
2011-01-03T02:51:00Z,47,31,30.01,26,0
2011-01-03T10:51:00Z,42,33,30.150000000000002,18,0
2011-01-03T14:51:00Z,39,36,30.1,11,0
2011-01-07T15:23:00Z,87,32,29.37,8,0.01
2011-01-08T10:51:00Z,67,31,29.43,0,0
2011-01-09T15:51:00Z,43,32,29.93,22,0
2011-01-09T19:51:00Z,47,30,30.05,23,0
2011-01-10T14:51:00Z,42,35,30.150000000000002,13,0
2011-01-11T05:51:00Z,68,24,30.24,8,0
2011-01-11T10:51:00Z,63,28,30.24,8,0
2011-01-12T01:51:00Z,88,26,29.66,17,0.09
2011-01-12T02:05:00Z,86,27,29.650000000000002,18,0.02
2011-01-12T03:51:00Z,88,26,29.610000000000003,16,0.08
2011-01-12T15:51:00Z,59,31,29.64,22,0
2011-01-13T19:51:00Z,52,21,30.27,23,0
2011-01-14T05:51:00Z,62,19,30.3,9,0
2011-01-14T07:51:00Z,60,20,30.32,14,0
2011-01-14T19:51:00Z,51,27,30.3,14,0
2011-01-18T05:51:00Z,85,32,30.03,18,0.03
2011-01-19T10:51:00Z,86,37,29.71,8,0
2011-01-20T10:51:00Z,46,34,30.08,15,0
2011-01-21T00:51:00Z,64,32,29.71,8,0
2011-01-21T02:22:00Z,75,34,29.650000000000002,6,0
2011-01-21T16:51:00Z,66,27,29.69,24,0
2011-01-21T18:51:00Z,42,24,29.79,22,0
2011-01-22T01:51:00Z,45,17,29.9,17,0
2011-01-22T08:51:00Z,51,17,30,14,0
2011-01-22T09:51:00Z,52,18,30,8,0
2011-01-22T20:51:00Z,59,19,29.88,3,0
2011-01-23T03:51:00Z,57,18,29.87,7,0
2011-01-25T05:09:00Z,69,28,30.23,7,0
2011-01-26T09:33:00Z,93,30,30,11,0.06
2011-01-26T13:41:00Z,87,32,29.79,15,0.02
2011-01-26T19:58:00Z,81,34,29.54,22,0
2011-01-27T06:51:00Z,69,32,29.71,11,0
2011-01-27T16:51:00Z,48,36,29.8,14,0
